shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
100429_DEC16,34.05375036,-118.2471412,560001
100429_DEC16,34.0532135,-118.2476382,560002
100429_DEC16,34.05308961,-118.2477566,560003
100429_DEC16,34.05165242,-118.2491191,560004
100429_DEC16,34.05143491,-118.2493231,560005
100429_DEC16,34.05143491,-118.2493231,570001
100429_DEC16,34.05037768,-118.2503137,570002
100429_DEC16,34.05037768,-118.2503137,580001
100429_DEC16,34.05024828,-118.2504354,580002
100429_DEC16,34.04876169,-118.2517514,580003
100429_DEC16,34.04854967,-118.2519621,580004
100429_DEC16,34.04854967,-118.2519621,590001
100429_DEC16,34.04738491,-118.2531139,590002
100429_DEC16,34.04716741,-118.2533147,590003
100429_DEC16,34.04716741,-118.2533147,600001
100429_DEC16,34.04592019,-118.2544728,600002
100429_DEC16,34.04569994,-118.2546735,600003
100429_DEC16,34.04569994,-118.2546735,610001
100429_DEC16,34.04469503,-118.2555882,610002
100429_DEC16,34.04448027,-118.2557889,610003
100429_DEC16,34.04426277,-118.2559896,610004
100429_DEC16,34.04426277,-118.2559896,620001
100429_DEC16,34.04380298,-118.2564107,620002
100429_DEC16,34.04301828,-118.2571411,620003
100429_DEC16,34.04278273,-118.2567806,620004
100429_DEC16,34.04243761,-118.2562579,620005
100429_DEC16,34.04243761,-118.2562579,630001
100429_DEC16,34.04231709,-118.256076,630002
100429_DEC16,34.04189254,-118.2554311,630003
100429_DEC16,34.04160496,-118.2549846,630004
100429_DEC16,34.04159399,-118.2549746,630005
100429_DEC16,34.04121625,-118.2555775,630006
100429_DEC16,34.04046645,-118.2567008,630007
100429_DEC16,34.04016596,-118.2571587,630008
100429_DEC16,34.04010258,-118.2572443,630009
100429_DEC16,34.04001442,-118.2573497,630010
100429_DEC16,34.03983544,-118.2575241,630011
100429_DEC16,34.03979964,-118.257557,630012
100429_DEC16,34.03966751,-118.2576688,630013
100429_DEC16,34.0390812,-118.2581423,630014
100429_DEC16,34.03885273,-118.2583265,630015
100429_DEC16,34.03885273,-118.2583265,640001
100429_DEC16,34.03771038,-118.2592537,640002
100429_DEC16,34.03771038,-118.2592537,650001
100429_DEC16,34.03759477,-118.2593458,650002
100429_DEC16,34.03691761,-118.2598982,650003
100429_DEC16,34.03671942,-118.260056,650004
100429_DEC16,34.03671942,-118.260056,660001
100429_DEC16,34.03660657,-118.2601448,660002
100429_DEC16,34.03637534,-118.2603355,660003
100429_DEC16,34.03571746,-118.2608649,660004
100429_DEC16,34.03531556,-118.2611904,660005
100429_DEC16,34.03497698,-118.2614633,660006
100429_DEC16,34.03430257,-118.2620091,660007
100429_DEC16,34.03373001,-118.2624727,660008
100429_DEC16,34.03373001,-118.2624727,670001
100429_DEC16,34.03361715,-118.2625647,670002
100429_DEC16,34.03289319,-118.2631466,670003
100429_DEC16,34.03262618,-118.2633603,670004
100429_DEC16,34.03245826,-118.2634984,670005
100429_DEC16,34.03240321,-118.2635412,670006
100429_DEC16,34.03221328,-118.2636924,670007
100429_DEC16,34.03215822,-118.2637384,670008
100429_DEC16,34.03191324,-118.2639324,670009
100429_DEC16,34.03133788,-118.2644124,670010
100429_DEC16,34.03120025,-118.2645209,670011
100429_DEC16,34.03105989,-118.2646228,670012
100429_DEC16,34.03089475,-118.2647444,670013
100429_DEC16,34.03089475,-118.2647444,680001
100429_DEC16,34.03053144,-118.2650106,680002
100429_DEC16,34.03010213,-118.2653062,680003
100429_DEC16,34.02894089,-118.2660484,680004
100429_DEC16,34.02833275,-118.2664426,680005
100429_DEC16,34.02758151,-118.2669253,680006
100429_DEC16,34.02733382,-118.2670994,680007
100429_DEC16,34.02723809,-118.2668978,680008
